x-axis,FFT
Hertz,dBV
0.00E+00,-16.68
6.25E+01,-29.88
1.25E+02,2.76
1.88E+02,-32.61
2.50E+02,-27.67
3.13E+02,-29.96
3.75E+02,-12.20
4.38E+02,-28.68
5.00E+02,-39.93
5.63E+02,-34.90
6.25E+02,-34.28
6.88E+02,-19.54
7.50E+02,-31.11
8.13E+02,-28.90
8.75E+02,-34.22
9.38E+02,-13.29
1.00E+03,-31.99
1.06E+03,-30.76
1.13E+03,-33.45
1.19E+03,-7.09
1.25E+03,-42.47
1.31E+03,-30.32
1.38E+03,-38.85
1.44E+03,-15.16
1.50E+03,-23.29
1.56E+03,-23.96
1.63E+03,-18.76
1.69E+03,-35.50
1.75E+03,-17.04
1.81E+03,-41.25
1.88E+03,-32.19
1.94E+03,-45.86
2.00E+03,-17.67
2.06E+03,-36.36
2.13E+03,-30.92
2.19E+03,-42.52
2.25E+03,-38.96
2.31E+03,-32.48
2.38E+03,-30.47
2.44E+03,-30.42
2.50E+03,-31.67
2.56E+03,-37.45
2.63E+03,-39.04
2.69E+03,-30.95
2.75E+03,-31.85
2.81E+03,-26.93
2.88E+03,-40.35
2.94E+03,-30.59
3.00E+03,-32.74
3.06E+03,-17.14
3.13E+03,-41.69
3.19E+03,-9.33
3.25E+03,-27.90
3.31E+03,-20.13
3.38E+03,-31.12
3.44E+03,-34.49
3.50E+03,-27.84
3.56E+03,-30.35
3.63E+03,-24.21
3.69E+03,-31.44
3.75E+03,-29.62
3.81E+03,-32.93
3.88E+03,-40.66
3.94E+03,-34.01
4.00E+03,-35.13
4.06E+03,-37.89
4.13E+03,-29.56
4.19E+03,-31.48
4.25E+03,-37.25
4.31E+03,-44.41
4.38E+03,-28.07
4.44E+03,-35.82
4.50E+03,-35.05
4.56E+03,-28.17
4.63E+03,-32.31
4.69E+03,-32.32
4.75E+03,-34.50
4.81E+03,-25.49
4.88E+03,-30.49
4.94E+03,-26.31
5.00E+03,-46.52
5.06E+03,-35.71
5.13E+03,-49.07
5.19E+03,-32.13
5.25E+03,-34.88
5.31E+03,-29.42
5.38E+03,-33.00
5.44E+03,-34.52
5.50E+03,-36.07
5.56E+03,-36.33
5.63E+03,-28.47
5.69E+03,-30.03
5.75E+03,-43.75
5.81E+03,-36.89
5.88E+03,-33.64
5.94E+03,-33.12
6.00E+03,-28.66
6.06E+03,-32.88
6.13E+03,-38.65
6.19E+03,-34.85
6.25E+03,-26.34
6.31E+03,-29.17
6.38E+03,-22.30
6.44E+03,-25.04
6.50E+03,-29.78
6.56E+03,-30.37
6.63E+03,-29.42
6.69E+03,-23.48
6.75E+03,-27.29
6.81E+03,-10.73
6.88E+03,-37.50
6.94E+03,-12.53
7.00E+03,-34.87
7.06E+03,-48.74
7.13E+03,-29.88
7.19E+03,-34.14
7.25E+03,-35.46
7.31E+03,-32.21
7.38E+03,-28.34
7.44E+03,-37.56
7.50E+03,-39.29
7.56E+03,-32.80
7.63E+03,-28.11
7.69E+03,-42.77
7.75E+03,-22.79
7.81E+03,-34.94
7.88E+03,-33.22
7.94E+03,-36.22
8.00E+03,-24.45
8.06E+03,-30.50
8.13E+03,-41.89
8.19E+03,-41.87
8.25E+03,-30.63
8.31E+03,-31.14
8.38E+03,-24.21
8.44E+03,-20.33
8.50E+03,-28.30
8.56E+03,-17.80
8.63E+03,-32.55
8.69E+03,-33.70
8.75E+03,-30.80
8.81E+03,-22.27
8.88E+03,-39.10
8.94E+03,-28.18
9.00E+03,-35.42
9.06E+03,-26.81
9.13E+03,-39.52
9.19E+03,-29.44
9.25E+03,-51.00
9.31E+03,-35.26
9.38E+03,-33.52
9.44E+03,-40.03
9.50E+03,-32.06
9.56E+03,-32.31
9.63E+03,-25.17
9.69E+03,-32.53
9.75E+03,-35.16
9.81E+03,-32.47
9.88E+03,-16.62
9.94E+03,-39.40
1.00E+04,-7.12
1.01E+04,-35.80
1.01E+04,-10.55
1.02E+04,-42.99
1.03E+04,-38.73
1.03E+04,-29.41
1.04E+04,-26.87
1.04E+04,-32.56
1.05E+04,-36.45
1.06E+04,-34.44
1.06E+04,-37.70
1.07E+04,-28.91
1.08E+04,-39.59
1.08E+04,-29.60
1.09E+04,-38.72
1.09E+04,-24.58
1.10E+04,-33.03
1.11E+04,-34.43
1.11E+04,-33.70
1.12E+04,-25.75
1.13E+04,-35.15
1.13E+04,-38.90
1.14E+04,-34.90
1.14E+04,-37.81
1.15E+04,-36.98
1.16E+04,-30.53
1.16E+04,-25.38
1.17E+04,-28.36
1.18E+04,-19.23
1.18E+04,-33.79
1.19E+04,-29.04
1.19E+04,-31.31
1.20E+04,-24.09
1.21E+04,-40.88
1.21E+04,-27.62
1.22E+04,-40.27
1.23E+04,-25.87
1.23E+04,-37.83
1.24E+04,-43.73
1.24E+04,-35.10
1.25E+04,-30.67
1.26E+04,-34.00
1.26E+04,-49.46
1.27E+04,-32.70
1.28E+04,-42.11
1.28E+04,-40.80
1.29E+04,-28.46
1.29E+04,-29.35
1.30E+04,-42.42
1.31E+04,-24.31
1.31E+04,-32.45
1.32E+04,-17.39
1.33E+04,-29.32
1.33E+04,-26.01
1.34E+04,-35.61
1.34E+04,-38.73
1.35E+04,-18.13
1.36E+04,-31.13
1.36E+04,-25.56
1.37E+04,-37.41
1.38E+04,-23.65
1.38E+04,-43.27
1.39E+04,-33.96
1.39E+04,-43.41
1.40E+04,-38.01
1.41E+04,-33.16
1.41E+04,-28.14
1.42E+04,-28.63
1.43E+04,-41.27
1.43E+04,-31.30
1.44E+04,-29.06
1.44E+04,-28.95
1.45E+04,-41.40
1.46E+04,-32.16
1.46E+04,-36.28
1.47E+04,-28.59
1.48E+04,-40.85
1.48E+04,-24.09
1.49E+04,-27.73
1.49E+04,-20.21
1.50E+04,-37.07
1.51E+04,-29.79
1.51E+04,-41.79
1.52E+04,-25.66
1.53E+04,-29.47
1.53E+04,-31.44
1.54E+04,-28.54
1.54E+04,-35.80
1.55E+04,-36.04
1.56E+04,-32.73
1.56E+04,-31.81
1.57E+04,-32.56
1.58E+04,-52.13
1.58E+04,-31.19
1.59E+04,-39.69
1.59E+04,-33.91
1.60E+04,-33.07
1.61E+04,-33.05
1.61E+04,-30.59
1.62E+04,-31.02
1.63E+04,-31.02
1.63E+04,-37.48
1.64E+04,-21.52
1.64E+04,-38.99
1.65E+04,-25.75
1.66E+04,-29.98
1.66E+04,-34.83
1.67E+04,-25.54
